QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
798,On which of the following cloud platforms can a Snowflake account be hosted? (Choose three.),"A,B,D",Microsoft Azure Cloud,Google Cloud Platform,Oracle Cloud,Amazon Web Services,Private Virtual Cloud,Alibaba Cloud,,https://docs.snowflake.com/en/user-guide/intro-cloud-platforms,,Snowflake AI Data Cloud Features and Architecture
799,What information is found within the Statistic output in the Query Profile Overview?,A,Table pruning,Operator tree,Nodes by execution time,Most expensive nodes,,,,https://docs.snowflake.com/en/user-guide/ui-query-profile,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
800,What are the least privileges needed to view and modify resource monitors? (Choose two.),"A,D",MODIFY,USAGE,SELECT,MONITOR,OWNERSHIP,,"By default, resource monitors can only be created by account administrators and, therefore, can only be viewed and maintained by them.\n

However, roles that have been granted the MONITOR or MODIFY privileges on specific resource monitors can view and modify the resource monitor as needed using SQL",https://docs.snowflake.com/en/user-guide/resource-monitors,,Performance Concepts
801,Which categories are included in the execution time summary in a Query Profile? (Choose two.),"A,E",Local Disk I/O,Spilling,Pruning,Percentage of data read from cache,Initialization,,"Execution time provides information about “where the time was spent” during the processing of a query. Time spent can be broken down into the following categories, displayed in the following order:\n

Processing — time spent on data processing by the CPU.\n
Local Disk IO — time when the processing was blocked by local disk access.\n
Remote Disk IO — time when the processing was blocked by remote disk access.\n
Network Communication — time when the processing was waiting for the network data transfer.\n
Synchronization — various synchronization activities between participating processes.\n
Initialization — time spent setting up the query processing.",https://docs.snowflake.com/en/user-guide/ui-query-profile,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
802,A Snowflake user wants to share unstructured data through the use of secure views. Which URL types can be used? (Choose two.),"B,D",File URL,Pre-signed URL,HTTPS URL,Scoped URL,Cloud storage URL,,,https://docs.snowflake.com/en/user-guide/unstructured-data-sharing,,"Data Protection and Data Sharing, Data Loading and Unloading"
803,How does the search optimization service help Snowflake users improve query performance?,D,It scans the micro-partitions based on the joins used in the queries and scans only join columns.,It keeps track of running queries and their results and saves those extra scans on the table.,It scans the local disk cache to avoid scans on the tables used in the query.,It maintains a persistent data structure that keeps track of the values of the table’s columns in each of its micro-partitions.,,,"To improve performance of search queries, the search optimization service creates and maintains a persistent data structure called a search access path. The search access path keeps track of which values of the table’s columns might be found in each of its micro-partitions, allowing some micro-partitions to be skipped when scanning the table.",https://docs.snowflake.com/en/user-guide/search-optimization-service#how-does-the-search-optimization-service-work,,"Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
804,A Snowflake user executed a query and received the results. Another user executed the same query 4 hours later. The data had not changed. What will occur?,D,"No virtual warehouse will be used, data will be read from the local disk cache.",The default virtual warehouse will be used to read all data.,The virtual warehouse that is defined at the session level will be used to read all data.,"No virtual warehouse will be used, data will be read from the result cache.",,,,https://docs.snowflake.com/en/user-guide/querying-persisted-results,,Performance Concepts
805,Which feature allows a user the ability to control the organization of data in a micro-partition?,A,Automatic Clustering,Range Partitioning,Horizontal Partitioning,Search Optimization Service,,,Search Optimization Service has nothing to do with the organization of data in micro-partitions. Its clustering only which organizes data in micro-partitions,https://docs.snowflake.com/en/user-guide/tables-auto-reclustering,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
806,What should be used when creating a CSV file format where the columns are wrapped by single quotes or double quotes?,C,SKIP_BYTE_ORDER_MARK,ESCAPE_UNENCLOSED_FIELD,FIELD_OPTIONALLY_ENCLOSED_BY,BINARY_FORMAT,,,"Character used to enclose strings. Value can be NONE, single quote character ('), or double quote character (""). To use the single quote character, use the octal or hex representation (0x27) or the double single-quoted escape ('').",https://docs.snowflake.com/en/sql-reference/sql/create-file-format,,Data Transformations
807,How are serverless features billed?,B,"Per second multiplied by the size, as determined by the SERVERLESS_FEATURES_SIZE account parameter",Per second multiplied by an automatic sizing for the job,"Per minute multiplied by an automatic sizing for the job, with a minimum of one minute","Serverless features are not billed, unless the total cost for the month exceeds 10% of the warehouse credits, on the account",,,"Charges for serverless features are calculated based on total usage of snowflake-managed compute resources measured in compute-hours. Compute-Hours are calculated on a per second basis, rounded up to the nearest whole second. The number of credits consumed per compute hour varies depending on the serverless feature. To learn how many credits are consumed by a serverless feature, refer to the “Serverless Feature Credit Table” in the Snowflake service consumption table.",https://docs.snowflake.com/en/user-guide/cost-understanding-compute#serverless-credit-usage,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
808,What operation can be performed using Time Travel?,A,Creating a clone of an entire table at a specific point in the past from a permanent table,Restoring tables that have been dropped from a data share,Extending a permanent table’s retention duration from 90 to 100 days,Disabling Time Travel for a specific object by setting DATA_RETENTION_TIME_IN_DAYS to NULL,,,"Using Time Travel, you can perform the following actions within a defined period of time:\n
-Query data in the past that has since been updated or deleted.\n
-Create clones of entire tables, schemas, and databases at or before specific points in the past.\n
-Restore tables, schemas, and databases that have been dropped.",https://docs.snowflake.com/en/user-guide/data-time-travel,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
809,Which function generates a Snowflake hosted file URL to a staged file using the stage name and relative file path as inputs?,B,BUILD_SCOPED_FILE_URL,BUILD_STAGE_FILE_URL,GET_STAGE_LOCATION,GET_PRESIGNED_URL,,,"BUILD_STAGE_FILE_URL: Generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs. A file URL permits prolonged access to a specified file. That is, the file URL does not expire.\n

This question can be tricky because there are very similar functions with small details that differentiate them.",https://docs.snowflake.com/en/sql-reference/functions/build_stage_file_url,,Data Transformations
810,"Which SQL command, when committed, will consume a stream and advance the stream offset?",C,ALTER TABLE AS SELECT FROM STREAM,SELECT FROM STREAM,INSERT INTO TABLE SELECT FROM STREAM,BEGIN COMMIT,,,The stream position (i.e. offset) is advanced when the stream is used in a DML statement. The position is updated at the end of the transaction to the beginning timestamp of the transaction. The stream describes change records starting from the current position of the stream and ending at the current transactional timestamp.,https://docs.snowflake.com/en/user-guide/streams-intro,,Data Loading and Unloading
811,What is the minimum Snowflake edition needed for database failover and fail-back between Snowflake accounts for business continuity and disaster recovery?,B,Standard,Business Critical,Virtual Private Snowflake,Enterprise,,,Requires Business Critical (or higher).,https://docs.snowflake.com/en/user-guide/database-failover-config#failing-over-databases-across-multiple-accounts,,Data Loading and Unloading
812,What metadata does Snowflake store for rows in micro-partitions? (Choose two.),"C,E",Sorted values,Index values,Distinct values,Null values,Range of values,,,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
813,Which of the following are valid methods for authenticating users for access into Snowflake? (Choose three.),"C,D,E",TLS 1.2,OCSP authentication,Key-pair authentication,Federated authentication,OAuth,SCIM,,https://docs.snowflake.com/en/user-guide/authentication,,Account Access and Security
814,Which privileges apply to stored procedures? (Choose two.),"D,E",MODIFY,MONITOR,OPERATE,USAGE,OWNERSHIP,,"Similar to other database objects (tables, views, UDFs, etc.), stored procedures are owned by a role and have one or more privileges that can be granted to other roles.\n

Currently, USAGE AND OWNERSHIP privileges apply to stored procedures.",https://docs.snowflake.com/en/developer-guide/stored-procedure/stored-procedures-usage,,Data Transformations
815,What happens when a Data Provider revokes privileges to a share on an object in their source database?,D,Any additional data arriving after this point in time will not be visible to Data Consumers.,The Data Consumers stop seeing data updates and become responsible for storage charges for the object.,A static copy of the object at the time the privilege was revoked is created in the Data Consumers account.,The object immediately becomes unavailable for all Data Consumers.,,,"Revokes access privileges for databases and other supported database objects (schemas, tables, and views) from a share. Revoking privileges on these objects effectively removes the objects from the share, disabling access to the objects granted via the database role in all consumer accounts that have created a database from the share.",https://docs.snowflake.com/en/sql-reference/sql/revoke-privilege-share,,"Data Transformations, Data Protection and Data Sharing"
816,What happens when a Snowflake user changes the data retention period at the schema level?,A,All child objects that do not have an explicit retention period will automatically inherit the new retention period.,All child objects with an explicit retention period will be overridden with the new retention period.,All explicit child object retention periods will remain unchanged.,All child objects will retain data for the new retention period.,,,"If you change the data retention period for a database or schema, the change only affects active objects contained within the database or schema. Any objects that have been dropped (for example, tables) remain unaffected.\n

For example, if you have a schema s1 with a 90-day retention period and table t1 is in schema s1, table t1 inherits the 90-day retention period. If you drop table s1.t1, t1 is retained in Time Travel for 90 days. Later, if you change the schema’s data retention period to 1 day, the retention period for the dropped table t1 is unchanged. Table t1 will still be retained in Time Travel for 90 days.",https://docs.snowflake.com/en/user-guide/data-time-trave,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
817,What does the “percentage scanned from cache” represent in the Query Profile?,B,The percentage of data scanned from the remote disk cache,The percentage of data scanned from the local disk cache,The percentage of data scanned from the result cache,The percentage of data scanned from the query cache,,,,https://docs.snowflake.com/en/user-guide/ui-query-profile,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
818,Which statements are true of micro-partitions? (Choose two.),"A,C","They are approximately 50-500MB, before compression",They are stored compressed only if COMPRESS=TRUE on Table,They are immutable,They are only encrypted in the Enterprise edition and above,"They are approximately 50-500MB, after compression",,,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions#what-are-micro-partitions,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
819,Which function determines the kind of value stored in a VARIANT column?,B,IS_JSON,TYPEOF,IS_ARRAY,CHECK_JSON,,,TYPEOF: Reports the type of a value stored in a VARIANT column. The type is returned as a string.,https://docs.snowflake.com/en/sql-reference/functions/typeof,,Data Transformations
820,What can be done to reduce queueing on a virtual warehouse?,C,Lower the MAX_CONCURRENCY_LEVEL setting for the warehouse.,Increase the AUTO_SUSPEND setting for the warehouse.,Change the warehouse to a multi-cluster warehouse.,Increase the warehouse size.,,,Multi-cluster warehouses are best utilized for scaling resources to improve concurrency for users/queries.,https://docs.snowflake.com/en/user-guide/performance-query-warehouse-queue,,Performance Concepts
821,Which commands can a Snowflake user execute to specify a cluster key for a table? (Choose two.),"C,D",SET,SHOW,CREATE,ALTER,UPDATE,,A clustering key can be defined at table creation (using the CREATE TABLE command) or afterward (using the ALTER TABLE command)..,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
822,Which of the following statements about data sharing are true? (Choose two.),"B,D",Reader Accounts are charged for warehouse usage.,Reader Accounts are created by Data Providers.,New objects created by a Data Provider are automatically shared with existing Data Consumers and Reader Accounts.,Shared databases are read-only.,All database objects can be included in a shared database.,,,https://docs.snowflake.com/en/user-guide/ui-snowsight-private-sharing-reader-accounts,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
823,In which use case does Snowflake apply egress charges?,C,Query result retrieval,Data sharing within a specific region,Database replication,Loading data into Snowflake,,,Snowflake charges a per-byte fee for data egress when users transfer data from a Snowflake account into a different region on the same cloud platform or into a completely different cloud platform. Data transfers within the same region are free.,https://docs.snowflake.com/en/user-guide/cost-understanding-data-transfer,,Performance Concepts
824,Which SQL command will list the files in a named stage?,B,get @%mytable;,list @my_stage;,get @my_stage;,list @~;,,,"LIST: Returns a list of files that have been staged (i.e. uploaded from a local file system or unloaded from a table) in one of the following Snowflake stages:\n
-Named internal stage.\n
-Named external stage.\n
-Stage for a specified table.\n
-Stage for the current user.",https://docs.snowflake.com/en/sql-reference/sql/list,,Data Transformations
825,Which Snowflake privilege is required on a pipe object to pause or resume pipes?,B,SELECT,OPERATE,READ,USAGE,,,"ALTER PIPE: Modifies a limited set of properties for an existing pipe object. Also supports the following operations:\n
-Pausing the pipe.\n
-Refreshing a pipe (i.e. copying the specified staged data files to the Snowpipe ingest queue for loading into the target table).\n
-Adding/overwriting/removing a comment for a pipe.\n
-Setting/unsetting a tag on a pipe.\n

A non-owner role with the OPERATE privilege on the pipe can pause or resume a pipe (using ALTER PIPE … SET PIPE_EXECUTION_PAUSED = TRUE | FALSE).\n

SQL operations on schema objects also require the USAGE privilege on the database and schema that contain the object.",https://docs.snowflake.com/en/sql-reference/sql/alter-pipe,,Data Transformations
826,Which use case does the search optimization service support?,B,LIKE/ILIKE/RLIKE join predicates,Conjunctions (AND) of multiple equality predicates,Disjuncts (OR) in join predicates,Join predicates on VARIANT columns,,,"Search optimization can improve the performance of queries using these kinds of predicates:\n
-Point lookup queries using equality and IN.\n
-Substring queries using wildcards and regular expressions.\n
-Searches in semi-structured data.\n
-Geospatial queries.\n
-Queries using conjunctions (AND) and disjunctions (OR).\n

The search optimization service does not directly improve the performance of joins. However, it can improve the performance of filtering rows from either table prior to the join.",https://docs.snowflake.com/en/user-guide/search-optimization/queries-that-benefit,,"Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
827,What is the recommended way to change the existing file format type in my_format from CSV to JSON?,B,ALTER FILE FORMAT my_format SET TYPE=JSON;,CREATE OR REPLACE FILE FORMAT my_format TYPE=JSON;,ALTER FILE FORMAT my_format SWAP TYPE WITH JSON;,REPLACE FILE FORMAT my_format TYPE=JSON;,,,"ALTER FILE FORMAT does not support changing the type (CSV, JSON, etc.) for the file format.\n

To make any of these changes, you must recreate the file format.",https://docs.snowflake.com/en/sql-reference/sql/create-file-format,,Data Transformations
828,"While clustering a table, columns with which data types can be used as clustering keys? (Choose two.)","A,E",BINARY,GEOGRAPHY,OBJECT,VARIANT,GEOMETRY,,"It can be any data type except GEOGRAPHY, VARIANT, OBJECT, or ARRAY",https://docs.snowflake.com/en/user-guide/tables-clustering-keys#defining-a-clustering-key-for-a-table,,Performance Concepts
829,What is a feature of a stored procedure in Snowflake?,B,They can only contain a single SQL statement.,They can be created to run with a caller's rights or an owner's rights.,They can be created as secure and hide the underlying metadata from all users.,They can access tables from a single database.,,,,https://docs.snowflake.com/en/sql-reference/stored-procedures-rights,,Data Transformations
830,Query parsing and compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?,B,Storage layer,Cloud services layer,Compute layer,Cloud agnostic layer,,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts#cloud-services,,Snowflake AI Data Cloud Features and Architecture
831,"By default, which role has access to the SYSTEM$GLOBAL_ACCOUNT_SET_PARAMETER function?",B,SYSADMIN,ORGADMIN,ACCOUNTADMIN,SECURITYADMIN,,,Usage notes: Only organization administrators (i.e. users with the ORGADMIN role) can call this SQL function.,https://docs.snowflake.com/en/sql-reference/functions/system_global_account_set_parameter,,Data Transformations
832,"Which semi-structured file format is a compressed, efficient, columnar data representation?",C,Avro,TSV,Parquet,JSON,,,"Parquet is a compressed, efficient columnar data representation designed for projects in the Hadoop ecosystem.",https://docs.snowflake.com/en/user-guide/semistructured-data-formats,,Data Loading and Unloading
833,How does Snowflake handle the data retention period for a table if a stream has not been consumed?,B,The data retention period is not affected by the stream consumption.,The data retention period is temporarily extended to the stream’s offset.,The data retention period s reduced to a minimum of 14 days.,The data retention period is permanently extended for the table.,,,"If the data retention period for a table is less than 14 days, and a stream has not been consumed, Snowflake temporarily extends this period to prevent it from going stale. The period is extended to the stream’s offset, up to a maximum of 14 days by default, regardless of the Snowflake edition for your account. The maximum number of days for which Snowflake can extend the data retention period is determined by the MAX_DATA_EXTENSION_TIME_IN_DAYS parameter value. When the stream is consumed, the extended data retention period is reduced to the default period for the table.",https://docs.snowflake.com/en/user-guide/streams-intro#data-retention-period-and-staleness,,Data Loading and Unloading
834,What does the Activity area of Snowsight allow users to do? (Choose two.),"A,C",Monitor queries executed by users in an account.,Create and manage user roles and permissions.,Explore each step of an executed query.,Access Snowflake Marketplace to find and integrate datasets.,Schedule automated data backups.,,,https://docs.snowflake.com/en/user-guide/ui-snowsight-activity,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
835,What type of query will benefit from the query acceleration service?,B,Queries of tables that have search optimization service enabled,Queries with large scans and selective filters,Queries where the GROUP BY has high cardinality,Queries without filters or aggregation,,,"Examples of the types of workloads that might benefit from the query acceleration service include:\n
-Ad hoc analytics.\n
-Workloads with unpredictable data volume per query.\n
-Queries with large scans and selective filters.",https://docs.snowflake.com/en/user-guide/query-acceleration-service,,Performance Concepts
836,Which Snowflake object uses credits for maintenance?,B,Regular table,Materialized view,Cached query result,Regular view,,,The automatic maintenance of materialized views consumes credits.,https://docs.snowflake.com/en/user-guide/views-materialized,,Performance Concepts
837,What does a table with a clustering depth of 1 mean in Snowflake?,B,The table has 1 overlapping micro-partition.,The table has no overlapping micro-partitions.,The table has no micro-partitions.,The table has only 1 micro-partition.,,,"Higher the overlap micro partition, higher is the overlap depth. Overlap depth=1 means there is no overlap",https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions,,Performance Concepts
838,"When a Snowflake user loads CSV data from a stage, which COPY INTO [table] command guideline should they follow?",A,The number of columns in each row should be consistent.,The data file must have the same number of columns as the target table.,The data file in the stage must be in a compressed format.,"The CSV field delimiter must be a comma character (',').",,,,https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#preparing-delimited-text-files,,Data Loading and Unloading
839,"When loading data into Snowflake, the COPY command supports which of the following?",D,Joins,Filters,Aggregates,Column reordering,,,,https://docs.snowflake.com/en/user-guide/data-load-transform#reorder-csv-columns-during-a-load,,"Data Transformations, Data Loading and Unloading"
840,"Which type of join will list all rows in the specified table, even if those rows have no match in the other table?",D,Cross join,Inner join,Natural join,Outer join,,,,https://docs.snowflake.com/en/sql-reference/constructs/join#syntax,,Data Transformations
841,"In which Snowsight section can a user switch roles, modify their profile, and access documentation?",B,The content pane,The user menu,The worksheets page,The activity page,,,You can expect some questions about the operation of Snowsight in the exam. It is advisable to navigate through the various sections to familiarize yourself with the interface.,https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour#user-menu,,Snowflake AI Data Cloud Features and Architecture
842,What is the purpose of a Query Profile?,C,To profile how many times a particular query was executed and analyze its usage statistics over time.,To profile which queries are running in each warehouse and identify proper warehouse utilization and sizing for better performance and cost balancing.,"To profile a particular query to understand the mechanics of the query, its behavior, and performance.",To profile the user and/or executing role of a query and all privileges and policies applied on the objects within the query.,,,Query Profile is a powerful tool for understanding the mechanics of queries. It can be used whenever you want or need to know more about the performance or behavior of a particular query.,https://docs.snowflake.com/en/user-guide/ui-query-profile,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
843,Which encryption type will enable client-side encryption for a directory table?,C,SNOWFLAKE_SSE,AWS_CSE,SNOWFLAKE_FULL,AES,,,SNOWFLAKE_FULL: Client-side and server-side encryption. The files are encrypted by a client when it uploads them to the internal stage using PUT.,https://docs.snowflake.com/en/sql-reference/sql/create-stage,,Data Transformations
844,How long does Snowflake retain information in the ACCESS_HISTORY view?,B,28 days,365 days,14 days,7 days,,,,https://docs.snowflake.com/en/sql-reference/account-usage,,Data Transformations
845,"If a Snowflake user decides a table should be clustered, what should be used as the cluster key?",C,The columns with many different values.,The columns that are queried in the select clause.,The columns most actively used in the select filters.,The columns with very high cardinality.,,,"Snowflake recommends prioritizing keys in the order below:\n

Cluster columns that are most actively used in selective filters. For many fact tables involved in date-based queries (for example “WHERE invoice_date > x AND invoice date <= y”), choosing the date column is a good idea. For event tables, event type might be a good choice, if there are a large number of different event types. (If your table has only a small number of different event types, then see the comments on cardinality below before choosing an event column as a clustering key.)\n

If there is room for additional cluster keys, then consider columns frequently used in join predicates, for example “FROM table1 JOIN table2 ON table2.column_A = table1.column_B”.",https://docs.snowflake.com/en/user-guide/tables-clustering-keys#strategies-for-selecting-clustering-keys,,Performance Concepts
846,What does the TableScan operator represent in the Query Profile?,A,The access to a single table,The list of values provided with the VALUES clause,The records generated using the TABLE(GENERATOR(...)) construct,The access to data stored in stage objects,,,TableScan: Represents access to a single table.,https://docs.snowflake.com/en/user-guide/ui-query-profile,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
847,Why should a Snowflake user implement a secure view? (Choose two.),"A,E",To limit access to sensitive data,To increase query performance,To optimize query concurrency and queuing,To store unstructured data,To hide view definition and details from unauthorized users,,,https://docs.snowflake.com/en/user-guide/views-secure,,"Data Protection and Data Sharing, Performance Concepts"
848,Snowpark provides libraries for which programming languages? (Choose two.),"A,B",Scala,Python,C++,R,JavaScript,,"Snowpark provide libs for:\n
-Java\n
-Python\n
-Scala",https://docs.snowflake.com/en/developer-guide/snowpark/index#developer-guides,,"Snowflake AI Data Cloud Features and Architecture, Data Transformations"
849,Which Snowflake layer is always used when accessing a query from the result cache?,D,Data Storage,Metadata,Compute,Cloud Services,,,Cloud Services layer is responsible for query parsing and optimization,https://docs.snowflake.com/en/user-guide/intro-key-concepts#cloud-services,,Snowflake AI Data Cloud Features and Architecture
850,Which ACCOUNT_USAGE views are used to evaluate the details of dynamic data masking? (Choose two.),"B,C",QUERY_HISTORY,MASKING_POLICIES,POLICY_REFERENCES,ACCESS_HISTORY,ROLES,RESOURCE_MONITORS,"Snowflake provides two Account Usage views to obtain information about masking policies:\n
1. The MASKING POLICIES view provides a list of all masking policies in your Snowflake account.\n
2. The POLICY_REFERENCES view provides a list of all objects in which a masking policy is set.",https://docs.snowflake.com/en/user-guide/security-column-ddm-intro,,Data Protection and Data Sharing
851,The Snowflake VARIANT data type imposes a 16 MB size limit on what?,A,An individual row,An individual column,A file in a stage,A view,,,The VARIANT data type imposes a 16 MB size limit on individual rows.,https://docs.snowflake.com/en/user-guide/semistructured-considerations,,Data Loading and Unloading
852,How does Snowflake describe its unique architecture?,D,A multi-cluster shared nothing architecture using a siloed data repository and symmetric multiprocessing (SMP),A single-cluster shared data architecture using a central data repository and massively parallel processing (MPP),A single-cluster shared nothing architecture using a siloed data repository and symmetric multiprocessing (SMP),A multi-cluster shared data architecture using a central data repository and massively parallel processing (MPP),,,"A simple and straightforward question, but one that always appears in the exam.",https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture,,Snowflake AI Data Cloud Features and Architecture
853,Which type of loop requires a BREAK statement to stop executing?,C,WHILE,FOR,LOOP,REPEAT,,,"BREAK is required in a LOOP but is not necessary in WHILE, FOR, and REPEAT.",https://docs.snowflake.com/en/developer-guide/snowflake-scripting/loops,,Data Transformations
854,Which of the following can be used when unloading data from Snowflake? (Choose two.),"B,E",Use the ENCODING file format option to change the encoding from the default UTF-8.,"By using the SINGLE = TRUE parameter, a single file up to 5 GB in size can be exported to the storage layer.",Use the PARSE_JSON function to ensure structured data will be unloaded into the VARIANT data type.,"When unloading semi-structured data, it is recommended that the STRIP_OUTER_ARRAY option be used.",The OBJECT_CONSTRUCT function can be used to convert relational data to semi-structured data.,,,https://docs.snowflake.com/en/user-guide/data-unload-considerations,,Data Loading and Unloading
855,What will happen if a Snowflake user increases the size of a suspended virtual warehouse?,C,The warehouse will resume immediately and start to share the compute load with other running virtual warehouses.,The warehouse will remain suspended but new resources will be added to the query acceleration service.,The provisioning of additional compute resources will be in effect when the warehouse is next resumed.,The provisioning of new compute resources for the warehouse will begin immediately.,,,"Resizing a suspended warehouse does not provision any new compute resources for the warehouse. It simply instructs Snowflake to provision the additional compute resources when the warehouse is next resumed, at which time all the usage and credit rules associated with starting a warehouse apply.",https://docs.snowflake.com/en/user-guide/warehouses-tasks,,Performance Concepts
856,What are advantages clones have over tables created with CREATE TABLE AS SELECT statement? (Choose two.),"D,E",The clone has better query performance.,The clone always stays in sync with the original table.,The clone will have time travel history from the original table.,The clone saves space by not duplicating storage.,The clone is created almost instantly.,,"Cloning is fast, but not instantaneous, particularly for large objects (e.g. tables). - so ALMOST is correct.\n

Clone is not a Physical copy of the actual data instead it is a pointer to the original micro-partitions and only when we modify the cloned data.",https://docs.snowflake.com/en/sql-reference/sql/create-clone,,Data Transformations
857,A size 3X-Large multi-cluster warehouse runs one cluster for one full hour and then runs two clusters for the next full hour. What would be the total number of credits billed?,C,64,128,192,149,,,"First hour, 1 cluster: 64\n

Second hour, 2 clusters: 64x2",https://docs.snowflake.com/en/user-guide/warehouses-overview,,Performance Concepts
858,What are the recommended steps to address poor SQL query performance due to data spilling? (Choose two.),"D,E",Clone the base table.,Run a multi-cluster warehouse with maximized mode.,Add another cluster in the virtual warehouse.,Fetch required attributes only.,Use a larger virtual warehouse.,,"The spilling can't always be avoided, especially for large batches of data, but it can be decreased by:\n
-Reviewing the query for query optimization especially if it is a new query\n
-Reducing the amount of data processed. For example, by trying to improve partition pruning, or projecting only the columns that are needed in the output.\n
-Decreasing the number of parallel queries running in the warehouse.\n
-Trying to split the processing into several steps (for example by replacing the CTEs with temporary tables).\n
-Using a larger warehouse - this effectively means more memory and more local disk space.\n","https://community.snowflake.com/s/article/Performance-impact-from-local-and-remote-disk-spilling, https://docs.snowflake.com/en/user-guide/performance-query-warehouse-memory",,Performance Concepts
859,Which constraint type is enforced in Snowflake from the ANSI SQL standard?,C,PRIMARY KEY,UNIQUE,NOT NULL,FOREIGN KEY,,,"Snowflake supports defining and maintaining constraints, but does not enforce them, except for NOT NULL constraints, which are always enforced.",https://docs.snowflake.com/en/sql-reference/constraints-overview,,Data Transformations
860,What is the MINIMUM permission needed to access a file URL from an external stage?,D,READ,MODIFY,SELECT,USAGE,,,"Permissions Required:\n
-Query\n
-USAGE (external stage) or READ (internal stage)",https://docs.snowflake.com/en/sql-reference/functions/build_stage_file_url,,Data Transformations
861,"To use the OVERWRITE option on INSERT, which privilege must be granted to the role?",C,SELECT,UPDATE,DELETE,TRUNCATE,,,"To use the OVERWRITE option on INSERT, you must use a role that has DELETE privilege on the table because OVERWRITE will delete the existing records in the table.",https://docs.snowflake.com/en/sql-reference/sql/insert,,Data Transformations
862,Which role has the ability to create a share from a shared database by default?,A,ACCOUNTADMIN,SYSADMIN,SECURITYADMIN,ORGADMIN,,,"By default, the privileges required to create and manage shares are granted only to the ACCOUNTADMIN role, ensuring that only account administrators can perform these tasks.",https://docs.snowflake.com/en/user-guide/security-access-privileges-shares,,"Data Protection and Data Sharing, Account Access and Security"
863,What are valid sub-clauses to the OVER clause for a window function? (Choose two.),"A,B",PARTITION BY,ORDER BY,LIMIT,GROUP BY,UNION ALL,,"Window Syntax\n
<function> ([ <arguments> ]) OVER ([ PARTITION BY <expr1> ] [ ORDER BY <expr2> ])\n",https://docs.snowflake.com/en/sql-reference/functions-analytic#window-syntax-and-usage,,Data Transformations
864,What does a masking policy consist of in Snowflake?,D,"A single data type, with only one condition, and only one masking function","Multiple data types, with only one condition, and one or more masking functions","Multiple data types, with one or more conditions, and one or more masking functions","A single data type, with one or more conditions, and one or more masking functions",,,"A masking policy consists of a single data type, one or more conditions, and one or more masking functions.",https://docs.snowflake.com/en/user-guide/security-column-intro,,Data Protection and Data Sharing
865,Which features are included in Snowsight? (Choose two.),"B,C",Changing the Snowflake account cloud provider,Worksheet sharing,Exploring the Snowflake Marketplace,Downloading query result data larger than 100 MB,Referencing SnowSQL,,,https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour,,Snowflake AI Data Cloud Features and Architecture
866,"When executing a COPY INTO command, performance can be negatively affected by using which optional parameter on a large number of files?",C,VALIDATION_MODE,FILE_FORMAT,PATTERN,FILES,,,,https://docs.snowflake.com/en/sql-reference/sql/copy-into-table,,Data Transformations
867,What is the difference between a stored procedure and a User-Defined Function (UDF)?,B,Multiple stored procedures can be called as part of a single executable statement while a single SQL statement can only call one UDF at a time.,Stored procedures can execute database operations while UDFs cannot.,Values returned by a stored procedure can be used directly in a SQL statement while the values returned by a UDF cannot.,Returning a value is required in a stored procedure while returning values in a UDF is optional.,,,,https://docs.snowflake.com/en/sql-reference/stored-procedures-overview#differences-between-stored-procedures-and-udfs,,Data Transformations
868,Which command should be used when loading many flat files into a single table?,A,COPY INTO,PUT,MERGE,INSERT,,,,https://docs.snowflake.com/en/sql-reference/sql/copy-into-table,,Data Transformations
